origin_id,origin_class,origin_label,type_id,type_class,type_label,value_id,value_class,value_label
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,1cc10956-15f4-4fb1-910c-6836705334eb,P,Atho Arnaudi de Castroverduno
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,a770447f-e522-4eed-a289-8f6c8f0cea1c,P,Raymundus d'Alvernhe
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,9618fce2-1abe-41c3-84ee-c7cf9563b825,P,Willelmus d'Alvernhe 
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,5f82ed0c-cf93-491f-9bc2-ae132cfaf59f,P,Arnaudus Iohannis 
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,e35e433c-b6ad-4b62-a45d-56b02889f3a6,P,Esclarmunda
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,7cb8b773-c237-4826-84fb-60220af0af6c,P,Raymundus Arnaldi de Garano
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,7f629126-3bc9-4303-8d23-35790c29f3b6,P,Raymundus de Planissolas
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,1ade5807-67e9-4768-86c5-9c080ee69109,P,B[ernardus] de Causso
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,a0120e0f-721a-44c1-9f38-d753d332d29c,P,Arnaudus de Causso ortiger
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,63f7c370-83e5-432f-a6e5-d76450a15353,P,Vitalis de Cellis
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,f6156d86-d231-4b82-a672-0ede2e32a772,P,Grausta de Lordato
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,326d1505-352a-4b7a-8f57-f06d2df2cf33,P,Vuillelma Guinhona
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,7a671539-19f8-4682-9c2b-3d21d1f20c3d,P,Vuillelmus den Oliver
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,f5eff70c-bfc8-4aa4-8796-0ffaf0147483,P,Raymundus d'Esclanha
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,2b0c3d86-689a-43e6-b55f-71e1b4811551,P,B[ernardus] de Carreiras
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,389e5de5-7f27-4167-9155-e7f5e6a5d727,P,B[ernardus] Autats
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,8d1f09f5-2234-4457-924e-2e408d09535a,P,Poncius Monerii
4e4d8ab8-bb0a-49f7-9982-96c5fb15ef83,E,Deposition of Bernardus de Podio de Garano,5186752e-9272-43fc-829b-37884b64d989,C,incriminated,2cac0605-d035-4c48-bbf7-c4cb7c51098a,P,Serena Monerii
