status,id_action_or_relation,subject,action_or_relation,action_or_relation_english,action_or_relation_middle_english,action_or_relation_synonyms,actant1_valency,actant1,actant2_valency,actant2,action_or_relation_type,subtype1,subtype2,subtype3,subtype4,parent_id,parent_label,parent_label_english,components_id,components_label,components_label_english,quasisynonym_id,quasisynonym_label,quasisynonym__label_english,related_entity_id,related_entity_label,related_entity_label_english,tags,dissidence_or_compliance_level,tie_value_subject_actant1,tie_value_subject_actant2,reciprocal_relation_actant1_subject_id,reciprocal_relation_actant1_subject,reciprocal_relation_actant1_subject_english,reciprocal_relation_actant2_subject_id,reciprocal_relation_actant2_subject,reciprocal_relation_actant2_subject_english,rule_time,rule_duration,rule_frequency,rule_location_where,rule_location_from,rule_location_to,rule_dissidence_level,rule_compliance_level,text_example,note,recommendation
approved,A0270,[] Person | [] Group,"""sedit"" (cum)",was seated (with sb),,,"""cum"" + 6
",[] Person | [] Group,NULL,NULL,interaction,being together,sitting together,,,A0046,"""fuit"" (cum)",was present (with sb),NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,not safely inferable,neutral,NA,A0270,"""sedit"" (cum)",was seated (with sb),NULL,#N/A,#N/A,R,O,O,O,NA,NA,,,,,
approved with recommendation,A0103,[] Person | [] Group,"""sermonem generalem fecit""",held a sermo generalis,,,NULL,NULL,NULL,NULL,action,trial,sermo generalis,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,1,NA,1,1,NA,NA,,,,,"Stands for the action of holding a sermo generalis, not for Text part metadata. Do NOT use as replacement for coding Text part metadata, i.e. 1) persons in their roles and 2) Text part genre."
approved,A0266,[] Person | [] Group,"""serviebat""",served (sb),,,3,[] Person | [] Group,NULL,NULL,interaction,service,serving sb,,,,#N/A,#N/A,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,not safely inferable,positive,NA,,#N/A,#N/A,,#N/A,#N/A,O,O,O,O,NA,NA,O,NA,,,
discouraged,A0178,[] Person | [] Group,"""servitor""",servant (of sb/st),,,2,[] Person | [] Group | [] Concept,NULL,NULL,social relation,service,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,NA,,,,NULL,NULL,NULL,1,1,1,1,NA,NA,,,,,Use A0093 + appropriate Concept instead.
discouraged,A0083,[] Person | [] Group,"""socius""",companion,,,2,[] Person | [] Group,NULL,NULL,social relation,companionship,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,A0083,"""socius""",companion,,#N/A,#N/A,1,1,1,1,NA,NA,,,,,Use A0093 + appropriate Concept instead.
discouraged,A0203,[] Person | [] Group,"""soror""",sister (of sb),,,2,[] Person | [] Group,NULL,NULL,social relation,kinship,consanguinity,sibling,sister,A0205,"""frater/soror""",sibling (of sb),,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,NA,A0205,"""frater/soror""",sibling (of sb),NULL,NULL,NULL,NA,NA,NA,NA,NA,NA,,,,,Use A0093 + appropriate Concept instead.
approved,A0084,[] Person | [] Group,"""subrisit""",smiled,,,NULL,NULL,NULL,NULL,action,smile,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,,NULL,NULL,,#N/A,#N/A,1,NA,1,1,NA,NA,,,"""reprehendit Ramun­dum et dictus Ramundus subrisit"" (Fournier)","This might be useful for modelling narrative, sequence of actions.",
approved,A0172,[] Person | [] Group,"""suspectus""",suspected (by sb - [of st]),,,"""per"" + 4",[] Person | [] Group,"NULL | ""pro"" + 6 | ""quia""",NULL | [] Concept | [] Statement,interaction,trial,suspicion,being suspected,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,object of the exercise of power,,,,,,#N/A,#N/A,1,1,1,NA,NA,NA,,,,,
approved,A0085,[] Person | [] Group,"""tenuit""",housed,,,4,[] Person | [] Group,NULL,NULL,interaction,support,housing,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,positive,,,???,was housed by,,#N/A,#N/A,1,1,1,1,NA,NA,,,,,
approved,A0086,[] Person | [] Group,"""testis""",witness-assessor (for Text part),,,NULL,[] Text part,NULL,NULL,relation,trial,social role,witness,assessor,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,C0144,testis,witness [i.e. assessor],,,,NA,,???,is testified by,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,"For witnesses of documents (assessors), not deponents!!! The document has a date and place but the role of a person towards the document does not have any date and place. But the assessor's presence at a trial can be restored by a rule - often explicit (interfuerunt ibi testes...). ",
approved,A0193,[] Person | [] Group,"""testis""",witness-deponent (for Text part),,,NULL,[] Text part,NULL,NULL,relation,trial,social role,witness,deponent,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,C0012,testis,witness [i.e. deponent],,,,NA,,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
approved,A0274,[] Person | [] Group,"""timuit""",feared (sb/st),,,"4 | ""ne""",[] Person | [] Group | [] Concept | [] Event | [] Statement,NULL,NULL,emotion,feeling,fear,,,,#N/A,#N/A,NA,NA,NA,,#N/A,#N/A,,#VALUE!,#VALUE!,,,negative,NA,???,#N/A,#N/A,NULL,#N/A,#N/A,O,O,O,O,NA,NA,O,O,,,
approved,A0156,[] Person | [] Group,"""tradidit""",handed over (to sb - st/sb),,,3,[] Person | [] Group,4,[] Object | [] Person | [] Group,interaction,flow,transfer,,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0036,"""dedit""",gave / handed over (to sb - st),,#VALUE!,#VALUE!,,,neutral,neutral,A0077,"""recepit"" ",received (from sb - st),,"""traditus fuit""",was handed over (to sb),1,1,1,1,NA,NA,,,,,
approved,A0181,[] Text part,"""traditum""",written down (by sb as notary),,,"""per"" + 4",[] Person | [] Group,NULL,NULL,action,trial,issuing of document,,,,#N/A,#N/A,,#VALUE!,#VALUE!,A0067,"""notarius""",notary (for Text part),,#VALUE!,#VALUE!,,,,NA,A0067,"""notarius""",notary (for Text part),NULL,NULL,NULL,1,NA,NA,1,NA,NA,,,,,
discouraged,A0087,Person,"""uxor""",wife (of sb),,,2,Person,NULL,NULL,social relation,kinship,affinity,marriage,,A0235,"""affinis""",affine (of sb),,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,A0111,"""maritus""",husband (of sb),,#N/A,#N/A,1,1,NA,NA,NA,NA,,,,,Use A0093 + appropriate Concept instead.
approved,A0088,[] Person | [] Group,"""vendidit""",sold (to sb - [st]),,,3,[] Person | [] Group,4 | NULL,[] Object | NULL,interaction,flow,resources flow,transfer,sale,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,neutral,neutral,A0041,"""emit""",bought (from sb - [st]),???,"""venditum fuit""",was sold (by sb),1,1,1,1,NA,NA,,,"""vidit pluries plures hereticos ... et emit  eis et vendidit eis"" (ms. 609)",,
approved,A0127,[] Person | [] Group,"""venit""",came (somewhere),,"""supervenit""",NULL,NULL,NULL,NULL,action,coming,,,,,#N/A,#N/A,,#VALUE!,#VALUE!,,#N/A,#N/A,,#VALUE!,#VALUE!,,,,,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NA,1,1,,,,"For going somewhere with somebody, use A0123 ""associavit"".",
